,speech_text,intent,sampled,speech_text_augmented
71,where seth lives,email_querycontact,False,where Set lives
103,start play road rash,play_game,False,start play route roseola
119,let's play never have i ever,play_game,False,let's play ne'er have i of_all_time
108,start play spider,play_game,False,start drama spider
104,open parcheese game for you and i,play_game,False,open parcheese game for you and i
109,play uno together,play_game,False,play uno together
106,start up bejeweled,play_game,False,beginning up bejeweled
102,can you play monopoly with me,play_game,False,can you drama monopoly with me
100,play football match for myself now,play_game,False,drama football match for myself now
92,Play my favorite game by name naughty dog,play_game,False,drama my favourite game by name gamy dog
97,can you find animal crossing,play_game,False,can you breakthrough animal crossing
132,find me a ride to the mall of america please,transport_taxi,False,find me a ride to the mall of United_States_of_America delight
140,call me a taxi,transport_taxi,False,phone_call me a taxi
128,book a taxi for pickup at my current location in one hour's time,transport_taxi,False,book a taxi for pickup at my electric_current placement in one hour's clip
126,please send a taxi to my house,transport_taxi,False,please direct a taxi to my firm
139,book a taxi uber,transport_taxi,False,book a taxi uber
134,book uber taxi for my travel,transport_taxi,False,book uber hack for my travel
129,book an outstation cab for tomorrow,transport_taxi,False,book an outpost cab for tomorrow
143,call a cab,transport_taxi,False,phone_call a cab
133,book a taxi for tomorrow morning,transport_taxi,False,book a hack for tomorrow morning
121,book an uber to the nearest mall in the next half hour,transport_taxi,False,book an uber to the close mall in the next half hour
164,i really enjoy rock and roll,music_likeness,False,i genuinely bask rock and roll
152,how about you save this music,music_likeness,False,how about you salvage this music
154,add this song to my catalogue,music_likeness,False,ADD this song to my catalogue
159,my favorite music is rock from the early two thousands,music_likeness,False,my favourite music is rock from the early 2 thousands
171,find lyrics of this song and save it it is very nice song,music_likeness,False,find words of this vocal and save it it is very nice song
167,can you save this song to my favorites,music_likeness,False,can you salvage this song to my favorites
179,i like music from when i was a teenager in the,music_likeness,False,i the_like music from when i was a teenager in the
174,i want the music to be saved can you do it for me,music_likeness,False,i want the music to be saved can you do it for me
150,i like rock music,music_likeness,False,i like rock music
162,i like electronic music,music_likeness,False,i the_like electronic music
192,show me my playlist,music_query,False,show me my play_list
186,do you hear songs of arrahman music,music_query,False,do you hear vocal of arrahman music
196,what is the name of this song playing right now,music_query,False,what is the name of this vocal playing right now
195,who sings this song,music_query,False,who sings this vocal
190,who is the music director of this song,music_query,False,who is the music director of this vocal
207,what music is playing right now,music_query,False,what music is playing right now
200,what is the name of the artist that created this song,music_query,False,what is the name of the artist that created this vocal
182,who is singing the song i am listening to right now,music_query,False,who is singing the song i am hearing to right now
184,what is a good rap album that came out this year,music_query,False,what is a good rap record_album that come_up out this year
189,tell artist and title of this song,music_query,False,tell creative_person and title of this vocal
212,can you tell me about expensive sushi restaurants in west philadelphia,recommendation_locations,False,can you tell me about expensive sushi restaurants in Occident City_of_Brotherly_Love
211,is there any grocery nearby,recommendation_locations,False,is there any grocery nearby
239,have any suggestions for local italian food,recommendation_locations,False,have any suggestions for local_anesthetic Italian food
234,where is the closest kroger,recommendation_locations,False,where is the closest kroger
215,locate nearby dining places,recommendation_locations,False,locate nearby dining place
228,where can i go shopping here,recommendation_locations,False,where can i spell shopping here
224,recommend pub in eighth and monte diablo,recommendation_locations,False,urge pub in one-eighth and monte diablo
213,locate local pizza shops,recommendation_locations,False,locate local_anesthetic pizza_pie shops
229,give the list of theaters in the vicinity,recommendation_locations,False,give the listing of theatre in the vicinity
217,search for local shops,recommendation_locations,False,hunt for local shops
252,please say what you've just said once again.,general_repeat,False,delight state what you've just said once again.
257,could you tell me it once again.,general_repeat,False,could you tell me it once again.
261,will you say once again.,general_repeat,False,will you state once again.
244,tell me once again.,general_repeat,False,William_Tell me once again.
248,tell me one more again please.,general_repeat,False,tell me one more again please.
260,tell me what i said one more time again please.,general_repeat,False,William_Tell me what i said one more clip again please.
265,could you try what you just said one more again.,general_repeat,False,could you try what you just say 1 more again.
250,let us do it again please.,general_repeat,False,let us do it again please.
251,can you try what i just said again.,general_repeat,False,can you effort what i just said again.
258,tell me that words spoke again please.,general_repeat,False,William_Tell me that words wheel_spoke again please.
288,current status of take out order,takeaway_query,False,current status of issue out order
272,most rated delivery options for chinese food,takeaway_query,False,most rank delivery option for chinese nutrient
297,can i get delivery from this restaurant,takeaway_query,False,can i get delivery from this eating_house
283,does my favourite pizza place available for takeaway,takeaway_query,False,does my favorite pizza_pie place available for takeaway
298,will the restaurant deliver the order,takeaway_query,False,will the restaurant present the order
293,how is my order,takeaway_query,False,how is my order
275,i want some curry to go any recommendations,takeaway_query,False,i want some curry to go any recommendations
295,how much longer until my pizza will be here,takeaway_query,False,how much longer until my pizza_pie will be here
281,does arby's do takeaway,takeaway_query,False,does arby's do takeaway
292,does pf changs do takeout,takeaway_query,False,does pf changs do takeout_food
309,what is weather today,weather_query,False,what is weather_condition today
302,it is very hot today is not it,weather_query,False,it is very hot today is not it
325,what will be the temperature today for miami florida,weather_query,False,what will be the temperature today for miami Sunshine_State
310,what will the weather be like this week,weather_query,False,what will the weather_condition be like this week
322,check the weather app to see if,weather_query,False,bank_check the weather app to see if
326,how is weather on such and such day,weather_query,False,how is weather on such and such twenty-four_hours
319,tell me the weather for new york city,weather_query,False,William_Tell me the weather for fresh House_of_York city
303,will it get warmer here next week,weather_query,False,will it get warmer here next hebdomad
308,what will be the highest temperature this week,weather_query,False,what will be the highest temperature this hebdomad
301,is it going to be cloudy in london during the weekend,weather_query,False,is it going to be nebulose in london during the weekend
350,tell me about neal adams,qa_factoid,False,tell me about neal Sam_Adams
335,where is the statue of liberty located,qa_factoid,False,where is the statue of liberty located
338,how many kilograms is two hundred and ten pounds,qa_factoid,False,how many kg is 2 hundred and ten pounds
358,what awards did erica grebe win last night,qa_factoid,False,what awarding did true_heath grebe win finale night
356,what johncena do,qa_factoid,False,what johncena do
341,what is the temperature right now in new york,qa_factoid,False,what is the temperature right now in new House_of_York
347,how old is carrie underwood,qa_factoid,False,how old is carrie underwood
352,when is the next lakers game,qa_factoid,False,when is the next lakers game
336,what is the capital of china,qa_factoid,False,what is the capital of People's_Republic_of_China
343,how many songs did michael jackson write,qa_factoid,False,how many vocal did michael Glenda_Jackson write
380,that does not matter for me.,general_dontcare,False,that does not affair for me.
367,does not really matter to me.,general_dontcare,False,does not really matter to me.
374,"i do not really know, olly.",general_dontcare,False,"i do not really know, olly."
368,"this is unimportant to me, olly.",general_dontcare,False,"this is unimportant to me, olly."
365,would not know.,general_dontcare,False,would not know.
366,"whatever is good with me, olly.",general_dontcare,False,"whatever is good with me, olly."
385,have no idea regarding to which to select.,general_dontcare,False,have no idea regarding to which to select.
379,"whatever, olly.",general_dontcare,False,"whatever, olly."
369,"i don't mind for any one, olly.",general_dontcare,False,"i don't mind for any one, olly."
381,i do not care.,general_dontcare,False,i do not care.
416,play the podcast named ringcast,play_podcasts,False,drama the podcast call ringcast
396,start next episode playing,play_podcasts,False,beginning next episode playing
417,play this podcast,play_podcasts,False,drama this podcast
393,can i see the previous episode,play_podcasts,False,can i see the previous episode
398,please start the podcast,play_podcasts,False,delight start the podcast
404,find the serial podcast and play it,play_podcasts,False,breakthrough the series podcast and play it
401,can you forward an episode in the podcast,play_podcasts,False,can you forward an episode in the podcast
408,aib podcast on kashmirstart it,play_podcasts,False,aib podcast on kashmirstart it
414,play next reason podcast,play_podcasts,False,play next ground podcast
410,please play james altucher's podcast,play_podcasts,False,delight play James_IV altucher's podcast
422,what is on my rap playlist,lists_query,False,what is on my rap playlist
420,what is on my to do list,lists_query,False,what is on my to do list
425,check my to do list,lists_query,False,bank_check my to do list
434,pull up list,lists_query,False,pull up listing
437,what lists are available,lists_query,False,what listing are available
444,what does the list contain,lists_query,False,what does the listing contain
431,open my list,lists_query,False,open my listing
440,read me back whats on my shopping list,lists_query,False,read me back whats on my shopping list
435,what are the names of the lists that i have created,lists_query,False,what are the names of the listing that i have created
429,what groups are listed in my contacts,lists_query,False,what groups are name in my contacts
452,my day was so busy,general_quirky,False,my day was so occupy
464,what are you doing,general_quirky,False,what are you doing
466,can you make dinner for me,general_quirky,False,can you make dinner for me
474,i am exhausted from work,general_quirky,False,i am wash_up from work
458,veganism,general_quirky,False,veganism
465,could you manipulate roip for me,general_quirky,False,could you pull_strings roip for me
459,why do starving people keep having kids,general_quirky,False,why do starving citizenry keep having kids
471,how about you,general_quirky,False,how about you
454,recent advice concerning google seo,general_quirky,False,Holocene_epoch advice pertain google seo
455,Is country better today or ten years ago,general_quirky,False,Is nation better today or 10 years agone
509,i am sorry but it's not correct response.,general_negate,False,i am sorry but it's not correct response.
482,"nope, it's not the correct command.",general_negate,False,"nope, it's not the rectify command."
486,i think this was not correct.,general_negate,False,i think this was not correct.
494,i think you are wrong.,general_negate,False,i think you are wrong.
498,thanks but this is not the right response.,general_negate,False,thanks but this is not the right response.
500,i think you have done the task all wrong.,general_negate,False,i think you have done the project all wrong.
487,dont do that again.,general_negate,False,dont do that again.
503,this was not what i am searching for.,general_negate,False,this was not what i am searching for.
501,i think you did not get this right.,general_negate,False,i think you did not get this right.
499,"shit, that isn't what i wanted.",general_negate,False,"shit, that isn't what i wanted."
528,play the two towers,play_audiobook,False,play the 2 towers
527,playback tom clancy splinter cell,play_audiobook,False,playback Uncle_Tom clancy splinter cell
524,play fault in our stars on audible,play_audiobook,False,play error in our ace on audible
517,play the game of thrones audio book from the last chapter i was on,play_audiobook,False,play the game of toilet sound book from the last chapter i was on
535,open davinci code audiobook,play_audiobook,False,clear davinci codification audiobook
532,please restart the handmaid's tale,play_audiobook,False,delight re-start the handmaid's tale
512,resume joes book from where i left off last time,play_audiobook,False,resume joes book from where i left off last time
518,progress from the last paused point of my audio book,play_audiobook,False,progress from the finale paused point of my sound book
520,continue the smurfs book,play_audiobook,False,continue the smurfs book
515,please resume this playback in audiobook,play_audiobook,False,delight resume this playback in audiobook
548,remove the list please,lists_remove,False,remove the list delight
562,remove list item,lists_remove,False,remove listing item
550,scratch that one from the list,lists_remove,False,scratch that 1 from the list
557,take item off list,lists_remove,False,issue item off list
565,rearrange that off the list,lists_remove,False,rearrange that off the listing
568,remove my grocery list,lists_remove,False,remove my grocery list
552,remove noodles from the list,lists_remove,False,remove noodles from the listing
558,please remove the grocery list from my set of lists,lists_remove,False,delight remove the grocery list from my set of lists
545,remove last played song,lists_remove,False,remove finale played vocal
547,delete this item,lists_remove,False,delete this point
587,Please pause the song,audio_volume_mute,False,delight pause the song
574,get yourself muted,audio_volume_mute,False,get yourself muted
599,pause the music,audio_volume_mute,False,intermission the music
596,shut up,audio_volume_mute,False,shut up
580,set the speakers to mute,audio_volume_mute,False,set the talker to mute
582,silent mode,audio_volume_mute,False,silent mode
583,set music system to mute,audio_volume_mute,False,set music system to deaf-mute
588,can you please stop speaking,audio_volume_mute,False,can you please halt speaking
586,mute audio,audio_volume_mute,False,mute sound
590,silence for two hours,audio_volume_mute,False,silence for two hours
627,yes that's amazing.,general_affirm,False,yes that's amazing.
616,yeah you have got my instructions right.,general_affirm,False,yeah you have got my instructions right.
622,yeap right.,general_affirm,False,yeap right.
601,yeah you've got that perfectly.,general_affirm,False,yeah you've acquire that perfectly.
617,yeap right response.,general_affirm,False,yeap right response.
614,yeah you've got my instructions right.,general_affirm,False,yeah you've acquire my instructions right.
618,that's confirmed.,general_affirm,False,that's confirmed.
615,yes it's confirmed.,general_affirm,False,yes it's confirmed.
625,yes right.,general_affirm,False,yes right.
602,you understood the answer right.,general_affirm,False,you understand the answer right.
640,olly i would like you just stop it.,general_commandstop,False,olly i would like you just halt it.
638,would you shut off please.,general_commandstop,False,would you shut off please.
658,olly shut down.,general_commandstop,False,olly shut down.
654,olly could you please shut off.,general_commandstop,False,olly could you please shut off.
636,olly please can you just stop it.,general_commandstop,False,olly please can you just halt it.
647,shut down please.,general_commandstop,False,shut down please.
643,olly i would like you stop.,general_commandstop,False,olly i would like you stop.
653,"olly that's enough, cancel.",general_commandstop,False,"olly that's enough, cancel."
659,olly i will talk to you later.,general_commandstop,False,olly i will talking to you later.
648,i want you just cancel it.,general_commandstop,False,i want you just cancel it.
664,define transcendet,qa_definition,False,define transcendet
674,siri what is the definition of ziggurat,qa_definition,False,siri what is the definition of zikkurat
676,what does obsessed mean,qa_definition,False,what does obsessed mean_value
682,what does tacobell stand for,qa_definition,False,what does tacobell stand for
670,describe a chart,qa_definition,False,depict a chart
669,define oscillate,qa_definition,False,define vibrate
686,what is the definition of god,qa_definition,False,what is the definition of god
684,give me the definition of arrow,qa_definition,False,give me the definition of pointer
679,describe the empire state building,qa_definition,False,depict the imperium state building
681,what does it mean to be overbearing,qa_definition,False,what does it mean_value to be overbearing
704,what movies are showing in cinema today,recommendation_movies,False,what film are showing in cinema today
701,which rom com movie can i watch in theatres around new york,recommendation_movies,False,which ROM com movie can i watch in theatre around fresh york
705,show me movie times,recommendation_movies,False,show me movie multiplication
718,what movies are playing nearby,recommendation_movies,False,what movies are playing nearby
693,i need a good chick flick any thoughts,recommendation_movies,False,i demand a good biddy flick any thoughts
714,what is a movie like star wars,recommendation_movies,False,what is a film like star warfare
706,what do you suggest that i watch this weekend,recommendation_movies,False,what do you suggest that i watch this weekend
698,what movie should i go see,recommendation_movies,False,what movie should i spell see
700,recommend a movie with justin bieber,recommendation_movies,False,recommend a film with justin bieber
696,what movies are playing this week,recommendation_movies,False,what film are playing this week
748,remind me about my alarms today,alarm_query,False,remind me about my dismay today
735,what alarms do i have set for today,alarm_query,False,what alarms do i have set for today
747,show me what alarm times i've set for the week,alarm_query,False,display me what alarm times i've set for the hebdomad
721,checkout today set alarm of ten am,alarm_query,False,checkout today set alarm of 10 am
726,what alarms do i have,alarm_query,False,what alarms do i have
737,when is my alarm set for,alarm_query,False,when is my dismay set for
731,did i set my house alarm,alarm_query,False,did i set my house dismay
741,list current set alarms,alarm_query,False,listing current set alarms
736,what time is alarm set for,alarm_query,False,what clip is alarm set for
728,is there an alarm for ten am,alarm_query,False,is there an alarm for 10 am
770,could you elaborate me more on your response please.,general_explain,False,could you lucubrate me more on your response please.
761,i don't understand what you have said.,general_explain,False,i don't understand what you have said.
758,would you once again clarify me about your response please.,general_explain,False,would you once again clarify me about your reaction please.
773,"s1, explain more on your response.",general_explain,False,"s1, explain more on your response."
775,"s1, will you please further explain me about what you said.",general_explain,False,"s1, will you delight further explain me about what you said."
764,"s1, will you further explain.",general_explain,False,"s1, will you further explain."
751,could you please again clarify your answer to me.,general_explain,False,could you delight again clarify your answer to me.
754,could you elaborate further on your answers to me.,general_explain,False,could you elaborate further on your reply to me.
752,"s2, i was unclear about your response.",general_explain,False,"s2, i was unclear about your response."
767,please explain me more on what you've just said.,general_explain,False,please explain me more on what you've just said.
799,show directions to pondy,transport_query,False,show way to pondy
784,whats the best way to france,transport_query,False,whats the best mode to French_Republic
798,map out a route from here to abita brew pub,transport_query,False,function out a route from here to abita brewage pub
792,give the shortest route to the airport,transport_query,False,spring the shortest route to the airport
791,how do i get to brighton,transport_query,False,how do i get to brighton
787,i want to go to bank of america give me directions,transport_query,False,i want to go to depository_financial_institution of United_States_of_America spring me directions
801,how can i go from boston to new york by train,transport_query,False,how can i spell from Hub_of_the_Universe to fresh york by train
796,can i get a train ticket to chicago for next saturday around noon,transport_query,False,can i get a train tag to Windy_City for next saturday around twelve_noon
802,is there a connecting train from london to paris and what time,transport_query,False,is there a link train from Greater_London to paris and what clip
793,take me to tnagar,transport_query,False,take me to tnagar
828,how do i make cookies,cooking_recipe,False,how do i make cooky
830,tell me the recipe to cook pav bhaji,cooking_recipe,False,tell me the recipe to Cook pav bhaji
819,healthy foods,cooking_recipe,False,healthy nutrient
815,how do i steam rice,cooking_recipe,False,how do i steam rice
810,what is an alternative to flour,cooking_recipe,False,what is an alternative to flour
817,good food,cooking_recipe,False,good food
824,how long do i roast chicken breasts,cooking_recipe,False,how long do i joint chicken chest
837,i would like the recipe for baked chicken,cooking_recipe,False,i would the_like the formula for baked poulet
825,what should i make for dinner,cooking_recipe,False,what should i make for dinner
811,how many calories are in a one divided by of peanuts,cooking_recipe,False,how many calories are in a 1 divided by of peanut
859,hey share me some joke to make me happy,general_joke,False,hey share me some gag to make me felicitous
842,jokes,general_joke,False,jokes
856,please tell me a joke,general_joke,False,please tell me a gag
851,funny joke,general_joke,False,funny gag
864,tell me a dirty joke,general_joke,False,tell me a soil joke
860,say a good joke for me right now,general_joke,False,say a good gag for me right now
841,what is the highest rated joke today,general_joke,False,what is the high rated joke today
840,what is a funny joke,general_joke,False,what is a good_story joke
868,i need to hear a joke can you tell me one,general_joke,False,i demand to learn a gag can you tell me one
845,what's the funniest joke you know,general_joke,False,what's the comic joke you know
888,remind me about tomorrow meeting at ten am,calendar_set,False,prompt me about tomorrow group_meeting at ten am
892,reminder about meeting from eight am to twelve pm,calendar_set,False,reminder about meeting from eight am to 12 necropsy
898,invite people to the calendar event,calendar_set,False,invite citizenry to the calendar event
885,remind me to meet joe for lunch tomorrow,calendar_set,False,remind me to meet joe for luncheon tomorrow
873,write down meeting at seven pm,calendar_set,False,compose down meeting at seven necropsy
876,alter lunch event to repeat every friday,calendar_set,False,alter luncheon event to repeat every Fri
879,please add the meeting with ms boland on wednesday eight hundred am to my calendar,calendar_set,False,please add the meeting with MS boland on Midweek 8 100 am to my calendar
889,please remind me about the event later five pm,calendar_set,False,delight remind me about the event later 5 necropsy
882,remind me to pay the electricity bill on this weekend at nine am,calendar_set,False,prompt me to pay the electricity bill on this weekend at 9 am
895,please block off friday at eight am on my calendar,calendar_set,False,delight block off Fri at eight am on my calendar
926,it's eight fifty five here what time is it in england,datetime_convert,False,it's 8 fifty five here what clip is it in england
902,convert twenty one thirty from gtm four to g. m. t. four thirty,datetime_convert,False,convert twenty 1 30 from gtm four to g. m. t. four thirty
928,when it is nine in the east what time is it in the west,datetime_convert,False,when it is 9 in the east what time is it in the Occident
912,what time is twelve pm eastern time in pacific time,datetime_convert,False,what time is 12 necropsy eastern clip in pacific time
908,what is the time difference between my location and hong kong,datetime_convert,False,what is the time difference between my placement and hong kong
924,how many hours distance is between my location and new york,datetime_convert,False,how many hours distance is between my placement and new House_of_York
918,can you tell how many hours of difference are between boston and los angeles,datetime_convert,False,can you tell how many hours of difference are between Hub_of_the_Universe and los angeles
905,convert g. m. t. to ist,datetime_convert,False,convert g. m. t. to ist
903,what is the time at singapore when our time is five pm,datetime_convert,False,what is the clip at capital_of_Singapore when our clip is five pm
904,convert eight thirty from gtm four to g. m. t. five thirty,datetime_convert,False,convert 8 30 from gtm 4 to g. m. t. five 30
930,order chinese from china spring wonton soup and a small beef and broccoli,takeaway_order,False,order Chinese from china springtime wonton soup and a small beef_cattle and broccoli
938,from wangs kitchen restaurant home delivery for a chicken manchow soup,takeaway_order,False,from wangs kitchen restaurant place delivery for a poulet manchow soup
950,hi i want to order fried chick with white sauce,takeaway_order,False,hullo i want to order fry chick with white sauce
951,order pizza,takeaway_order,False,order pizza_pie
949,food order from grubhub,takeaway_order,False,food order from grubhub
948,call pf chang's to order me egg foo young,takeaway_order,False,phone_call pf chang's to order me egg foo young
955,can you direct me to the menu for the highest rated chinese carryout near me,takeaway_order,False,can you direct me to the bill_of_fare for the high rank Chinese carryout near me
931,can you order me takeout,takeaway_order,False,can you order me takeout_food
934,i want to order some food,takeaway_order,False,i want to order some food
940,order chinese for delivery,takeaway_order,False,order chinese for delivery
978,to which event can i go in milan now,recommendation_events,False,to which event can i go in milan now
979,what is going on today in biloxi,recommendation_events,False,what is going on today in Biloxi
973,what is happening tomorrow,recommendation_events,False,what is occurrence tomorrow
964,this weekend what events are going on in seattle,recommendation_events,False,this weekend what event are going on in seattle
976,anything unique to do in the city today,recommendation_events,False,anything unique to do in the city today
984,what's going on tonight in sacramento,recommendation_events,False,what's going on tonight in sacramento
961,are there any events going on nearby,recommendation_events,False,are there any event going on nearby
983,is there anything happening in town this weekend,recommendation_events,False,is there anything occurrence in town this weekend
985,show local events,recommendation_events,False,show local event
986,what events are happening today,recommendation_events,False,what event are happening today
1014,what is the current day month and year,datetime_query,False,what is the electric_current day month and twelvemonth
1018,today is which date,datetime_query,False,today is which date
996,show me boston's current time,datetime_query,False,show me boston's electric_current clip
1005,what time is it in this city,datetime_query,False,what time is it in this metropolis
995,what time is it eastern,datetime_query,False,what time is it eastern
1006,just let me know the current date today,datetime_query,False,just let me know the electric_current day_of_the_month today
997,what is the time in ajmer,datetime_query,False,what is the time in ajmer
1010,what time is it in akron,datetime_query,False,what time is it in akron
1003,give me time,datetime_query,False,spring me time
993,uh what does the current date happen to be,datetime_query,False,uh what does the current day_of_the_month hap to be
1047,could you fix me some coffee,iot_coffee,False,could you hole me some coffee
1048,can you begin the brew,iot_coffee,False,can you begin the brewage
1046,i need to wake up make me the strongest coffee you can make,iot_coffee,False,i demand to wake up make me the strongest coffee you can make
1027,brew coffee at noon,iot_coffee,False,brew java at noon
1041,brew me a cup of coffee,iot_coffee,False,brew me a cup of coffee
1032,do a coffee for me please,iot_coffee,False,do a java for me please
1045,make me a strong cup of coffee,iot_coffee,False,make me a strong cup of java
1026,make a pot of strong coffee,iot_coffee,False,make a toilet of strong coffee
1030,turn on coffee machine and make a pot of coffee,iot_coffee,False,turn on java machine and make a toilet of java
1036,please make me a coffee,iot_coffee,False,please make me a coffee
1051,light settings,iot_hue_lightchange,False,visible_light settings
1054,change the lights to red,iot_hue_lightchange,False,alteration the lights to red
1059,change my room lights to some romantic colour,iot_hue_lightchange,False,alteration my room visible_light to some romanticist colour
1078,change the media room lights from purple to green,iot_hue_lightchange,False,alteration the media room lights from purple to greenness
1053,turn the lights blue at three pm,iot_hue_lightchange,False,crook the visible_light blue at three necropsy
1077,make the lighting bit more warm here,iot_hue_lightchange,False,make the lighting bit more warm here
1074,change the color of the lights in my house from white to yellow,iot_hue_lightchange,False,change the colour of the visible_light in my firm from white to yellow
1066,change lights from red to blue,iot_hue_lightchange,False,change visible_light from redness to blue
1056,turn the lights to red color,iot_hue_lightchange,False,turn the visible_light to red colour
1070,rotate the light colors,iot_hue_lightchange,False,go_around the light colors
1087,turn off plug,iot_wemo_off,False,turn off stopper
1090,off the plug,iot_wemo_off,False,off the plug
1099,shut down sps,iot_wemo_off,False,shut down sps
1102,i want the wemo socket off,iot_wemo_off,False,i want the wemo socket off
1098,turn off the wemo plug,iot_wemo_off,False,turn off the wemo stopper
1093,turn off smart socket,iot_wemo_off,False,turn off smart socket
1089,please turn socket off,iot_wemo_off,False,delight turn socket off
1080,can you turn off on the wemo plug socket,iot_wemo_off,False,can you turn off on the wemo stopper socket
1097,turn off on the socket,iot_wemo_off,False,turn off on the socket
1082,outlet off,iot_wemo_off,False,outlet off
1121,turn down the lights,iot_hue_lightdim,False,turn down the visible_light
1131,i want the lights less brighter,iot_hue_lightdim,False,i want the lights LE bright
1138,lower lights now,iot_hue_lightdim,False,lower lights now
1111,lower lights,iot_hue_lightdim,False,lower visible_light
1139,period the light should be in dim,iot_hue_lightdim,False,period_of_time the light should be in dim
1124,turn down the brightness,iot_hue_lightdim,False,crook down the brightness
1130,lower hallway lights,iot_hue_lightdim,False,lower hallway lights
1137,i want a lower light,iot_hue_lightdim,False,i want a lower light
1125,lights down to seven,iot_hue_lightdim,False,visible_light down to seven
1134,decrease lighting,iot_hue_lightdim,False,decrease lighting
1151,write a tweet of complaint about my tv to samsung,social_post,False,compose a tweet of complaint about my tv to samsung
1153,send a tweet to kroger about being overcharged for groceries,social_post,False,direct a tweet to kroger about being overcharged for grocery
1167,bring up twitter to target customer service,social_post,False,bring up twitter to mark client service
1160,send twitter to mattel that they need to stop making toys in china,social_post,False,send twitter to mattel that they demand to stop fashioning toys in china
1159,please tell kmart they sent the wrong item,social_post,False,delight William_Tell kmart they sent the wrongfulness item
1157,tweet this tweet coffee was too hot and at this company costa coffee,social_post,False,tweet this tweet java was too hot and at this company rib coffee
1146,pull up the complaint website for starbucks,social_post,False,pull up the complaint website for starbucks
1168,heading to gym please post to facebook,social_post,False,header to gym please post to facebook
1142,please tweet the following to radisson hotels customer service,social_post,False,please tweet the followers to radisson hotels customer service
1140,send a tweet,social_post,False,send a tweet
1192,wake me up at five am,alarm_set,False,wake me up at five am
1195,i need an alarm,alarm_set,False,i need an dismay
1175,can you set an alarm for me,alarm_set,False,can you set an alarm for me
1177,set an alarm for ten o'clock tomorrow morning,alarm_set,False,set an alarm for 10 o'clock tomorrow morning
1196,please set my alarm clock for eight am,alarm_set,False,delight set my alarm clock for eight am
1190,set an alarm for five hundred and thirty,alarm_set,False,set an dismay for 5 hundred and thirty
1198,two pm set,alarm_set,False,two pm set
1179,wake me up at five am this week,alarm_set,False,wake me up at five am this hebdomad
1185,confirm that the alarm is set for tomorrow,alarm_set,False,corroborate that the alarm is set for tomorrow
1181,i need to get going at eight am tomorrow set up an alarm thirty minutes before that,alarm_set,False,i need to get going at 8 am tomorrow set up an alarm 30 proceedings before that
1212,is there anything new on snapchat,social_query,False,is there anything new on snapchat
1210,what's new on social media,social_query,False,what's fresh on social medium
1224,please let me know what's happening to my social media,social_query,False,delight Lashkar-e-Toiba me know what's happening to my social medium
1217,what friends were in popular places the last day,social_query,False,what ally were in popular place the finale day
1221,did mark post anything new on facebook,social_query,False,did mark station anything new on facebook
1229,are there any updates on facebook,social_query,False,are there any update on facebook
1205,what are the latest tweets from the new york times,social_query,False,what are the up-to-the-minute tweet from the new york multiplication
1220,check how many likes did i got on my most recent post,social_query,False,check how many likes did i acquire on my most Holocene_epoch post
1206,what posts have i missed from my friends,social_query,False,what posts have i missed from my ally
1203,hows twitter,social_query,False,hows twitter
1256,tune into my selected station,play_radio,False,tune into my selected place
1233,go to sirius and play the hip hop channel,play_radio,False,spell to Dog_Star and play the hip hop transmission_channel
1248,open the radio app,play_radio,False,clear the radio app
